Appliance,Model,Specs,Price,Link,Notes
Side-by-Side Refrigerator,"22 Cu. Ft. 36"" Counter-Depth Side-by-Side Refrigerator","PRSC2222AF, Stainless Steel, Delivery only (No Install)",$1530.47,https://www.frigidaire.com/en/p/kitchen/refrigerators/side-by-side-refrigerators/PRSC2222AF,Home delivery - FREE
Refrigerator Water Line,"6' Long Stainless Steel Braided Refrigerator Water Supply Line",912001026,$18.99,https://www.frigidaire.com/en/Accessories/,Accessory for refrigerator
Electric Cooktop,"30"" Electric Cooktop","GCCE3070AD, Black Stainless Steel, Delivery only (No Install)",$887.82,https://www.frigidaire.com/en/p/kitchen/cooktops/electric-cooktops/GCCE3070AD,Home delivery - FREE
Top Freezer Refrigerator,"20 Cu. Ft. Garage Ready Top Freezer Refrigerator","FFHT2022AS, Stainless Steel, Delivery only (No Install)",$788.96,https://www.frigidaire.com/en/p/kitchen/refrigerators/top-freezer-refrigerators/FFHT2022AS,Home delivery - FREE
Over-the-Range Microwave,"1.9 Cu. Ft. Over-the-Range Microwave with Air Fry","GMOS1968AF, Stainless Steel, Delivery only (No Install)",$709.86,https://www.frigidaire.com/en/p/kitchen/microwaves/over-the-range-microwave/GMOS1968AF,Home delivery - FREE
Electric Range,"30"" Electric Range with No Preheat + Air Fry","GCRE3060BF, Stainless Steel, Delivery & Installation",$957.03,https://www.frigidaire.com/en/p/kitchen/ranges/electric-ranges/GCRE3060BF,Delivery & Installation - $29.00
Range Cord,"4 ft. 40 Amp Range Cord with 4 Wire",912000980,FREE,https://www.frigidaire.com/en/Accessories/,Included with range
Dishwasher (Main),"24"" Stainless Steel Tub Dishwasher","FDSH4501AS, Stainless Steel, Delivery only (No Install)",$591.22,https://www.frigidaire.com/en/p/kitchen/dishwashers/FDSH4501AS,Home delivery - FREE
Dishwasher Kit (Main),Dishwasher Water Line Kit,"912000909, 6' Braided Water Line, 3/4"" Elbow, Power Cord, Hardware",$22.99,https://www.frigidaire.com/en/Accessories/,Accessory kit for dishwasher
Dishwasher (ADU),"24"" Stainless Steel Tub Dishwasher","FDSH4501AS, Stainless Steel, Delivery only (No Install)",$591.22,https://www.frigidaire.com/en/p/kitchen/dishwashers/FDSH4501AS,Home delivery - FREE
Dishwasher Kit (ADU),Dishwasher Water Line Kit,"912000909, 6' Braided Water Line, 3/4"" Elbow, Power Cord, Hardware",$22.99,https://www.frigidaire.com/en/Accessories/,Accessory kit for dishwasher
Wall Oven-Microwave Combo,"30"" Electric Wall Oven and Microwave Combination","GCWM3067AF, Stainless Steel, 15+ Ways To Cook, Delivery only (No Install)",$2667.42,https://www.frigidaire.com/en/p/kitchen/wall-ovens/microwave-combination-ovens/GCWM3067AF,Home delivery - FREE
